00:16:54.599,GPU Power,16079 mW
00:16:54.681,CPU Power,1438 mW
00:16:54.683,GPU Power,0 mW
00:16:54.764,CPU Power,2110 mW
00:16:54.766,GPU Power,17114 mW
00:16:54.857,CPU Power,2746 mW
00:16:54.862,GPU Power,0 mW
00:16:54.952,CPU Power,2614 mW
00:16:54.954,GPU Power,17346 mW
00:16:55.036,CPU Power,2524 mW
00:16:55.037,GPU Power,14093 mW
00:16:55.119,CPU Power,2202 mW
00:16:55.121,GPU Power,0 mW
00:16:55.202,CPU Power,2780 mW
00:16:55.203,GPU Power,13504 mW
00:16:55.285,CPU Power,2921 mW
00:16:55.287,GPU Power,0 mW
00:16:55.384,CPU Power,2797 mW
00:16:55.386,GPU Power,16783 mW
00:16:55.468,CPU Power,2949 mW
00:16:55.470,GPU Power,0 mW
00:16:55.552,CPU Power,2993 mW
00:16:55.554,GPU Power,17038 mW
00:16:55.637,CPU Power,3498 mW
00:16:55.644,GPU Power,16323 mW
00:16:55.729,CPU Power,3691 mW
00:16:55.731,GPU Power,0 mW
00:16:55.810,CPU Power,3710 mW
00:16:55.812,GPU Power,16929 mW
00:16:55.892,CPU Power,3105 mW
00:16:55.893,GPU Power,0 mW
00:16:55.972,CPU Power,3705 mW
00:16:55.974,GPU Power,14409 mW
00:16:56.064,CPU Power,2965 mW
00:16:56.066,GPU Power,0 mW
00:16:56.145,CPU Power,3889 mW
00:16:56.147,GPU Power,16016 mW
00:16:56.228,CPU Power,3589 mW
00:16:56.230,GPU Power,0 mW
00:16:56.311,CPU Power,4221 mW
00:16:56.312,GPU Power,16651 mW
00:16:56.393,CPU Power,898 mW
00:16:56.395,GPU Power,6180 mW
00:16:56.476,CPU Power,3639 mW
00:16:56.477,GPU Power,0 mW
00:16:56.559,CPU Power,3873 mW
00:16:56.561,GPU Power,0 mW
00:16:56.642,CPU Power,3969 mW
00:16:56.644,GPU Power,12 mW
00:16:56.725,CPU Power,3923 mW
00:16:56.727,GPU Power,0 mW
00:16:56.807,CPU Power,3903 mW
00:16:56.808,GPU Power,0 mW
00:16:56.890,CPU Power,3903 mW
00:16:56.892,GPU Power,0 mW
00:16:56.973,CPU Power,4011 mW
00:16:56.975,GPU Power,0 mW
00:16:57.057,CPU Power,3394 mW
00:16:57.059,GPU Power,0 mW
00:16:57.141,CPU Power,3863 mW
00:16:57.143,GPU Power,0 mW
00:16:57.225,CPU Power,3916 mW
00:16:57.227,GPU Power,0 mW
00:16:57.306,CPU Power,3945 mW
00:16:57.308,GPU Power,0 mW
00:16:57.392,CPU Power,4016 mW
00:16:57.394,GPU Power,0 mW
00:16:57.475,CPU Power,3964 mW
00:16:57.477,GPU Power,0 mW
00:16:57.558,CPU Power,4011 mW
00:16:57.560,GPU Power,0 mW
00:16:57.642,CPU Power,3897 mW
00:16:57.644,GPU Power,0 mW
00:16:57.726,CPU Power,3904 mW
00:16:57.728,GPU Power,0 mW
00:16:57.809,CPU Power,4110 mW
00:16:57.811,GPU Power,32 mW
00:16:57.898,CPU Power,4169 mW
00:16:57.900,GPU Power,0 mW
00:16:57.981,CPU Power,4163 mW
00:16:57.983,GPU Power,0 mW
00:16:58.065,CPU Power,4172 mW
00:16:58.067,GPU Power,0 mW
00:16:58.157,CPU Power,4130 mW
00:16:58.159,GPU Power,0 mW
00:16:58.244,CPU Power,3786 mW
00:16:58.246,GPU Power,0 mW
